Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
BDKBJLID_01570	putative NADH dehydrogenase (ubiquinone), E subunit	LFTS_00691	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin	nuoE		1.6.5.3	ko:K00334		C
BDKBJLID_01571	NADH dehydrogenase (quinone) F subunit	LFTS_00692	1.6.5.3~~~~~~NAD(P)-dependent iron-only hydrogenase diaphorase component flavoprotein	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	nuoF-1		1.12.1.3,1.6.5.3	ko:K00335,ko:K18331		C
BDKBJLID_01572	NADH dehydrogenase (quinone) F subunit	LFTS_00692	1.6.5.3~~~~~~NAD(P)-dependent iron-only hydrogenase diaphorase component flavoprotein	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	nuoF-1		1.12.1.3,1.6.5.3	ko:K00335,ko:K18331		C
BDKBJLID_01573	NADH dehydrogenase	LFTS_00693	1.2.1.2~~~~~~formate dehydrogenase major subunit	Molydopterin dinucleotide binding domain	nuoG		1.12.1.2,1.12.1.3,1.17.1.10,1.17.1.9,1.6.5.3	ko:K00123,ko:K00184,ko:K00335,ko:K00336,ko:K05299,ko:K18006,ko:K18332		C
BDKBJLID_01574	NADH dehydrogenase (ubiquinone), H subunit	LFTS_00694	1.6.5.3~~~nuoH~~~NADH dehydrogenase subunit H	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone	nuoH	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00337		C
BDKBJLID_01575	NADH dehydrogenase, chain I	LFTS_00695	1.6.5.3~~~nuoI~~~NADH-quinone oxidoreductase subunit I	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoI	GO:0003674,GO:0003824,GO:0003954,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0034641,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0046034,GO:0046483,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564	1.6.5.3,1.6.99.3	ko:K00338,ko:K02573,ko:K03941		C
BDKBJLID_01576	putative NADH dehydrogenase (ubiquinone), chain J	LFTS_00696	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit J	Belongs to the complex I subunit 6 family	nuoJ	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00339		C
BDKBJLID_01577	NADH ubiquinone oxidoreductase I subunit K	LFTS_00697	1.6.5.3~~~nuoK~~~NADH-quinone oxidoreductase subunit K	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoK	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0030964,GO:0032991,GO:0034641,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0044425,GO:0044459,GO:0044464,GO:0045271,GO:0045272,GO:0045333,GO:0046034,GO:0046483,GO:0050136,GO:0055086,GO:0055114,GO:0070469,GO:0070470,GO:0071704,GO:0071944,GO:0072521,GO:0098796,GO:0098797,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204	1.6.5.3	ko:K00340,ko:K05576		C
BDKBJLID_01578	NADH dehydrogenase (quinone), chain L	LFTS_00698	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit L	NADH-quinone oxidoreductase	nuoL		1.6.5.3	ko:K00341		CP
BDKBJLID_01579	NADH dehydrogenase (quinone), chain M	LFTS_00699	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit M	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism	nuoM		1.6.5.3	ko:K00342		C
BDKBJLID_01580	NADH dehydrogenase (quinone), chain N	LFTS_00700	1.6.5.3~~~nuoN-1~~~NADH dehydrogenase subunit N	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoN	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00343		C
BDKBJLID_01581	SOS-response transcriptional repressor,LexA	LFTS_00701	3.4.21.88~~~lexA~~~repressor LexA	Represses a number of genes involved in the response to DNA damage (SOS response)	lexA	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0032991,GO:0032993,GO:0043565,GO:0097159,GO:1901363	3.4.21.88	ko:K01356		K
BDKBJLID_01582	hypothetical protein	LFTS_00702	~~~~~~hypothetical protein
BDKBJLID_01583	ammonium transporter	LFTS_00703	~~~nrgA2~~~ammonium transporter, Amt family	Ammonium Transporter Family	amtB			ko:K03320	iJN678.amt2	P
BDKBJLID_01584	nitrogen regulatory protein PII	LFTS_00704	~~~~~~nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family	glnK	GO:0003674,GO:0005488,GO:0005515,GO:0006808,GO:0008150,GO:0042802,GO:0045848,GO:0048518,GO:0050789,GO:0065007		ko:K04751,ko:K04752		K
BDKBJLID_01585	Superfamily II DNA or RNA helicase, SNF2 family	LFTS_00705	~~~~~~Superfamily II DNA or RNA helicase, SNF2 family	SNF2 family N-terminal domain						KL
BDKBJLID_01586	proline dehydrogenase	LFTS_00706	~~~putA~~~L-proline dehydrogenase	proline dehydrogenase activity				ko:K00318		E
BDKBJLID_01587	Fe-S cluster protector protein	LFTS_00707	~~~~~~Fe-S cluster biosynthesis and repair protein YggX	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes	yggX	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0009987,GO:0033554,GO:0034599,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0070887				C
BDKBJLID_01588	hypothetical protein	LFTS_00708	~~~~~~hypothetical protein	HIT domain						FG
BDKBJLID_01589	putative signal transduction protein	LFTS_00709	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase						T
BDKBJLID_01590	chemotaxis protein CheZ	LFTS_00710	~~~~~~chemotaxis protein CheZ	Chemotaxis phosphatase, CheZ	cheZ	GO:0001539,GO:0003674,GO:0003824,GO:0004721,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0032991,GO:0036211,GO:0040011,GO:0042578,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071704,GO:0071944,GO:0071973,GO:0071975,GO:0071977,GO:0097588,GO:0098561,GO:0140096,GO:1901564		ko:K03414		NT
BDKBJLID_01591	hypothetical protein
BDKBJLID_01592	hypothetical protein	LFTS_00712	~~~~~~hypothetical protein	Protein of unknown function (DUF692)	BP2925			ko:K09930		S
BDKBJLID_01593	Tetratricopeptide repeat-containing protein	LFTS_00713	~~~~~~Tetratricopeptide repeat-containing protein	COG0457 FOG TPR repeat						NU
BDKBJLID_01594	diguanylate cyclase	LFTS_00714	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	phosphoserine phosphatase activity						T
BDKBJLID_01595	hypothetical protein	LFTS_00715	~~~~~~hypothetical protein
BDKBJLID_01596	Tetratricopeptide repeat-containing protein	LFTS_00716	~~~~~~Tetratricopeptide repeat-containing protein
BDKBJLID_01597	putative general secretion pathway protein K	LFTS_00717	~~~~~~general secretion pathway protein K	protein secretion	gspK			ko:K02460		U
BDKBJLID_01598	Type II secretion system (T2SS), protein M	LFTS_00718	~~~~~~Type II secretion system (T2SS), protein M	Type II secretion system (T2SS), protein M	gspM			ko:K02462		U
BDKBJLID_01599	hypothetical protein	LFTS_00719	~~~~~~hypothetical protein
BDKBJLID_01600	type II secretion system protein N	LFTS_00720	~~~~~~type II secretion system protein N	Protein involved in outer membrane biogenesis						M
BDKBJLID_01601	general secretion pathway protein G	LFTS_00721	~~~~~~general secretion pathway protein G	Type II secretion system (T2SS), protein G	lspG			ko:K02456		U
BDKBJLID_01602	putative general secretion pathway protein F	LFTS_00722	~~~gspF~~~type II secretion system protein F (GspF)	Type II secretion system (T2SS), protein F	gspF	GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015628,GO:0015833,GO:0016020,GO:0032940,GO:0033036,GO:0042886,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0098776		ko:K02455,ko:K02653		U
BDKBJLID_01603	general secretion pathway protein E	LFTS_00723	~~~~~~type II secretion system protein E (GspE)	Type II/IV secretion system protein	gspE			ko:K02454,ko:K02652		NU
BDKBJLID_01604	general secretion pathway protein D	LFTS_00724	~~~~~~general secretion pathway protein D	protein transport across the cell outer membrane	gspD			ko:K02453,ko:K03219		NU
BDKBJLID_01605	putative general secretion pathway protein C	LFTS_00725	~~~gspC~~~general secretion pathway protein C	protein transport across the cell outer membrane	gspC			ko:K02452,ko:K02463		U
BDKBJLID_01606	sulfur transfer protein involved in thiamine biosynthesis	LFTS_00726	~~~~~~sulfur carrier protein	ThiS family						H
BDKBJLID_01607
BDKBJLID_01608	PEP-CTERM protein-sorting domain-containing protein	LFTS_00728	~~~~~~PEP-CTERM protein-sorting domain-containing protein
BDKBJLID_01609	hypothetical protein	LFTS_00729	~~~~~~hypothetical protein
BDKBJLID_01610	Cytochrome c	LFTS_00730	~~~~~~Cytochrome c	Cytochrome c	petA	GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0032991,GO:0044424,GO:0044436,GO:0044464,GO:0070069	1.8.2.2	ko:K02634,ko:K19713		C
BDKBJLID_01611	putative cytochrome C, class I	LFTS_00731	~~~~~~Cytochrome c	Cytochrome c	petA	GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0032991,GO:0044424,GO:0044436,GO:0044464,GO:0070069	1.8.2.2	ko:K02634,ko:K19713		C
BDKBJLID_01612	cytochrome c553	LFTS_00732	~~~~~~Cytochrome c553	cytochrome			1.9.3.1	ko:K02275		C
BDKBJLID_01613	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00733	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	cyclic-guanylate-specific phosphodiesterase activity						T
BDKBJLID_01614	PEGA domain-containing protein	LFTS_00734	~~~~~~PEGA domain-containing protein
BDKBJLID_01615	phytoene dehydrogenase	LFTS_00735	~~~~~~C-3',4' desaturase CrtD	Flavin containing amine oxidoreductase	crtD					Q
BDKBJLID_01616	Cellulose biosynthesis protein BcsQ	LFTS_00736	~~~~~~Cellulose biosynthesis protein BcsQ	cellulose synthase operon protein YhjQ						D
BDKBJLID_01617	Cellulose biosynthesis protein BcsQ	LFTS_00736	~~~~~~Cellulose biosynthesis protein BcsQ
BDKBJLID_01618	Tetratricopeptide repeat protein	LFTS_00737	~~~~~~Tetratricopeptide repeat protein	Cellulose synthase						M
BDKBJLID_01619	cellulose synthase subunit B, Bcsb, catalytic subunit	LFTS_00738	~~~~~~cellulose synthase subunit	type IV pilus assembly PilZ	bcsA	GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0016020,GO:0016051,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0051273,GO:0051274,GO:0071704,GO:0071944,GO:0090540,GO:1901576	2.4.1.12	ko:K00694		M
BDKBJLID_01620	cellulose synthase (UDP-forming)	LFTS_00739	2.4.1.12~~~~~~cellulose synthase (UDP-forming)	type IV pilus assembly PilZ	bcsA	GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0016020,GO:0016051,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0051273,GO:0051274,GO:0071704,GO:0071944,GO:0090540,GO:1901576	2.4.1.12	ko:K00694		M
BDKBJLID_01621	cytochrome C553	LFTS_00740	~~~~~~Cytochrome c553	cytochrome			1.9.3.1	ko:K02275		C
BDKBJLID_01622	putative cytochrome C, class I	LFTS_00741	~~~~~~Cytochrome c	Cytochrome c	petA	GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0032991,GO:0044424,GO:0044436,GO:0044464,GO:0070069	1.8.2.2	ko:K02634,ko:K19713		C
BDKBJLID_01623	DNA polymerase-2	LFTS_00742	2.7.7.7~~~polB~~~DNA polymerase-2	DNA replication proofreading	polB		2.7.7.7	ko:K02336,ko:K06877		L
BDKBJLID_01624	hypothetical protein	LFTS_00743	~~~~~~hypothetical protein							
BDKBJLID_01625	Rad51 protein	LFTS_00744	~~~~~~Rad51 protein
BDKBJLID_01626	SOS-response transcriptional repressor,LexA	LFTS_00745	3.4.21.88~~~lexA-1~~~repressor LexA	Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair	lexA	GO:0000976,GO:0001067,GO:0001130,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0009991,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031668,GO:0032991,GO:0032993,GO:0033554,GO:0043565,GO:0044212,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0060255,GO:0065007,GO:0071496,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141	3.4.21.88	ko:K01356		K
BDKBJLID_01627	glucose-6-phosphate isomerase	LFTS_00746	5.3.1.9~~~pgi~~~glucose-6-phosphate isomerase	Phosphoglucose isomerase	pgi		5.3.1.9	ko:K01810		G
BDKBJLID_01628	FMN phosphatase YigB, HAD superfamily	LFTS_00747	~~~~~~FMN phosphatase YigB, HAD superfamily	phosphoglycolate phosphatase activity	yjcH1		3.8.1.2	ko:K01560,ko:K07025		S
BDKBJLID_01629	hypothetical protein	LFTS_00748	~~~~~~hypothetical protein	PFAM Uncharacterised protein family (UPF0153)						S
BDKBJLID_01630	acriflavin resistance protein	LFTS_00749	~~~~~~Multidrug efflux pump subunit AcrB	transmembrane transporter activity	MA20_13830					V
BDKBJLID_01631	hypothetical protein	LFTS_00750	~~~~~~hypothetical protein	Protein of unknown function (DUF3105)						S
BDKBJLID_01632	outer membrane lipoprotein	LFTS_00751	~~~~~~outer membrane lipoprotein	identical protein binding	slp	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0016020,GO:0019867,GO:0042802		ko:K07285		M
BDKBJLID_01633	Copper chaperone CopZ	LFTS_00752	~~~~~~Copper chaperone CopZ	mercury ion transmembrane transporter activity				ko:K08364		P
BDKBJLID_01634	ArsB,arsenical pump membrane protein	LFTS_00753	~~~arsB~~~arsenite efflux membrane protein ArsB (TC 3.A.4.1.1; TC 2.A.45.1.1)	Involved in arsenical resistance. Thought to form the channel of an arsenite pump	arsB			ko:K03893		P
BDKBJLID_01635	arsenate reductase (thioredoxin)	LFTS_00754	~~~~~~arsenate reductase (thioredoxin)	low molecular weight	arsC	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0008794,GO:0016491,GO:0030611,GO:0030613,GO:0030614,GO:0042221,GO:0046685,GO:0050896,GO:0055114	1.20.4.1	ko:K03741		T
BDKBJLID_01636	Heavy-metal resistance	LFTS_00755	~~~~~~Heavy-metal resistance
BDKBJLID_01637	hypothetical protein	LFTS_00756	~~~~~~hypothetical protein
BDKBJLID_01638	Galactose oxidase, central domain	LFTS_00757	~~~~~~Galactose oxidase, central domain
BDKBJLID_01639	Cupredoxin-like domain-containing protein	LFTS_00758	~~~~~~Cupredoxin-like domain-containing protein							
BDKBJLID_01640	high-affinity Fe2+/Pb2+ permease	LFTS_00759	~~~~~~high-affinity iron transporter	high-affinity ferrous iron transmembrane transporter activity				ko:K07243		P
BDKBJLID_01641	putative RNA-processing exonuclease	LFTS_00760	~~~~~~metallo-beta-lactamase family protein	Beta-Casp domain				ko:K07576		J
BDKBJLID_01642	long-chain-fatty-acid--CoA ligase	LFTS_00761	6.2.1.3~~~~~~long-chain acyl-CoA synthetase	Phosphate acyltransferases	fadD		2.3.1.51,6.2.1.3	ko:K00655,ko:K01897		I
BDKBJLID_01643	hypothetical protein
BDKBJLID_01644	transcriptional regulator, BadM/Rrf2 family	LFTS_00763	~~~~~~transcriptional regulator, BadM/Rrf2 family	Transcriptional regulator	nsrR			ko:K13771		K
BDKBJLID_01645	SAP domain-containing protein	LFTS_00764	~~~~~~SAP domain-containing protein							
BDKBJLID_01646	flavodoxin reductase	LFTS_00765	~~~~~~Ferredoxin-NADP reductase	Oxidoreductase NAD-binding domain						C
BDKBJLID_01647	cytochrome C	LFTS_00766	~~~~~~Cytochrome c, mono- and diheme variants	Cytochrome c				ko:K00406,ko:K12263		C
BDKBJLID_01648	Zn-finger domain of CDGSH type-containing protein	LFTS_00767	~~~~~~Zn-finger domain of CDGSH type-containing protein	Iron-binding zinc finger CDGSH type				ko:K05710		I
BDKBJLID_01649	hemoglobin-like flavoprotein	LFTS_00768	1.14.12.17~~~~~~nitric oxide dioxygenase	nitric oxide dioxygenase activity	fhbA		1.14.12.17	ko:K05916		C
BDKBJLID_01650	phosphomannomutase	LFTS_00769	5.4.2.2~~~~~~phosphomannomutase / phosphoglucomutase	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	algC	GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0004614,GO:0004615,GO:0005488,GO:0005975,GO:0005976,GO:0006082,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009243,GO:0009244,GO:0009311,GO:0009312,GO:0009405,GO:0009987,GO:0016051,GO:0016053,GO:0016853,GO:0016866,GO:0016868,GO:0017144,GO:0019752,GO:0033692,GO:0034637,GO:0034645,GO:0042120,GO:0042121,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044281,GO:0044283,GO:0044419,GO:0046394,GO:0046401,GO:0046402,GO:0046872,GO:0051704,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	5.4.2.2,5.4.2.8	ko:K01835,ko:K01840,ko:K15778		G
BDKBJLID_01651	mannose-1-phosphate guanylyltransferase	LFTS_00770	2.7.7.13~~~xanB~~~mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase	Belongs to the mannose-6-phosphate isomerase type 2 family	manC		2.7.7.13,5.3.1.8,5.4.2.8	ko:K00971,ko:K01840,ko:K16011	iHN637.CLJU_RS00940	GM
BDKBJLID_01652	hypothetical protein	LFTS_00771	~~~~~~hypothetical protein
BDKBJLID_01653	hypothetical protein	LFTS_00772	~~~~~~hypothetical protein
BDKBJLID_01654	putative short-chain dehydrogenase	LFTS_00773	~~~~~~short chain dehydrogenase	Enoyl-(Acyl carrier protein) reductase						C
BDKBJLID_01655	GTP-binding protein (Era)	LFTS_00774	~~~era~~~GTP-binding protein Era	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism	era	GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043021,GO:0043024,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0065003,GO:0070181,GO:0070925,GO:0071826,GO:0071840,GO:0097159,GO:1901363		ko:K03595		S
BDKBJLID_01656	GTP-binding protein (Era)	LFTS_00774	~~~era~~~GTP-binding protein Era	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism	era	GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043021,GO:0043024,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0065003,GO:0070181,GO:0070925,GO:0071826,GO:0071840,GO:0097159,GO:1901363		ko:K03595		S
BDKBJLID_01657	DNA replication and repair protein RecO	LFTS_00775	~~~~~~DNA replication and repair protein RecO	Involved in DNA repair and RecF pathway recombination	recO	GO:0008150,GO:0009314,GO:0009628,GO:0050896	2.6.99.2	ko:K03474,ko:K03584		L
BDKBJLID_01658	hypothetical protein	LFTS_00776	~~~~~~hypothetical protein
BDKBJLID_01659	hypothetical protein	LFTS_00777	~~~~~~hypothetical protein	Protein of unknown function (DUF1207)				ko:K02040,ko:K03074,ko:K20541		NU
BDKBJLID_01660	putative SAM-dependent methyltransferase	LFTS_00778	2.1.1.191~~~~~~SAM-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase	rlmI		2.1.1.191,2.1.1.72	ko:K00571,ko:K06969		J
BDKBJLID_01661	putative membrane GTPase	LFTS_00779	~~~~~~GTP-binding protein	Elongation factor G C-terminus	typA	GO:0000027,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006996,GO:0008150,GO:0009266,GO:0009408,GO:0009409,GO:0009628,GO:0009987,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0065003,GO:0070925,GO:0071826,GO:0071840		ko:K06207		T
BDKBJLID_01662	peptidyl-prolyl cis-trans isomerase	LFTS_00780	5.2.1.8~~~~~~peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	cypB		5.2.1.8	ko:K01802,ko:K03767,ko:K03768		O
BDKBJLID_01663	metal-dependent hydrolase of the beta-lactamase superfamily I	LFTS_00781	3.1.4.55~~~phnP~~~phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	May be involved in the transport of PQQ or its precursor to the periplasm	phnP		2.3.1.181,3.1.4.55	ko:K03801,ko:K06167		P
BDKBJLID_01664	methionine synthase I, cobalamin-binding domain protein	LFTS_00782	2.1.1.13~~~~~~5-methyltetrahydrofolate--homocysteine methyltransferase	Pterin binding enzyme	metH		2.1.1.13,2.1.1.245,2.1.1.258,2.1.1.5	ko:K00197,ko:K00544,ko:K00548,ko:K15023		H
BDKBJLID_01665	Vitamin B12 dependent methionine synthase, activation domain	LFTS_00783	~~~~~~Vitamin B12 dependent methionine synthase, activation domain	methionine synthase	metH2		2.1.1.13	ko:K00548		E
BDKBJLID_01666	thiamine biosynthesis protein ThiC	LFTS_00784	4.1.99.17~~~thiC~~~hydroxymethylpyrimidine synthase	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction	thiC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016020,GO:0017144,GO:0018130,GO:0019438,GO:0034641,GO:0040007,GO:0042364,GO:0042723,GO:0042724,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.99.17	ko:K03147	iECABU_c1320.ECABU_c45100,iYO844.BSU08790	H
BDKBJLID_01667	ATPase with chaperone activity, ATP-binding subunit	LFTS_00785	~~~~~~ATP-dependent Clp protease ATP-binding subunit ClpC	ATPase activity				ko:K03695		O
